iter	Passed	Remaining
0	132	131972
1	133	66560
2	134	44725
3	135	33795
4	136	27231
5	137	22849
6	139	19839
7	141	17513
8	142	15677
9	143	14213
10	144	13014
11	146	12077
12	147	11230
13	149	10504
14	150	9881
15	151	9326
16	152	8844
17	154	8410
18	155	8021
19	156	7676
20	157	7361
21	159	7073
22	160	6811
23	161	6569
24	162	6351
25	164	6157
26	165	5971
27	168	5834
28	169	5663
29	170	5509
30	171	5367
31	175	5308
32	176	5178
33	177	5053
34	179	4936
35	180	4825
36	181	4721
37	182	4617
38	183	4518
39	184	4424
40	185	4336
41	186	4258
42	187	4183
43	189	4110
44	190	4041
45	191	3974
46	192	3906
47	193	3840
48	194	3777
49	195	3717
50	196	3657
51	197	3607
52	199	3558
53	200	3510
54	201	3466
55	205	3457
56	207	3426
57	208	3387
58	209	3346
59	210	3301
60	211	3257
61	212	3218
62	213	3180
63	214	3143
64	215	3106
65	216	3069
66	218	3044
67	219	3005
68	220	2975
69	222	2950
70	223	2925
71	225	2900
72	226	2871
73	227	2844
74	228	2818
75	229	2791
76	230	2765
77	231	2740
78	233	2716
79	234	2696
80	235	2670
81	236	2645
82	237	2620
83	238	2595
84	238	2568
85	239	2545
86	240	2521
87	241	2501
88	242	2482
89	243	2463
90	244	2444
91	245	2426
92	246	2407
93	248	2392
94	249	2377
95	250	2361
96	251	2344
97	252	2327
98	253	2310
99	254	2294
100	256	2278
101	256	2258
102	257	2244
103	258	2229
104	259	2214
105	260	2200
106	262	2186
107	263	2176
108	264	2164
109	265	2151
110	266	2137
111	268	2125
112	269	2112
113	270	2099
114	271	2088
115	272	2075
116	273	2064
117	274	2051
118	275	2037
119	276	2028
120	278	2025
121	280	2018
122	281	2004
123	282	1995
124	283	1986
125	285	1977
126	286	1969
127	287	1956
128	288	1946
129	290	1941
130	292	1939
131	293	1931
132	294	1922
133	296	1914
134	298	1913
135	299	1904
136	301	1896
137	301	1885
138	303	1876
139	304	1867
140	305	1858
141	306	1849
142	307	1840
143	307	1830
144	310	1830
145	311	1822
146	312	1813
147	313	1804
148	314	1796
149	315	1789
150	316	1780
151	317	1772
152	318	1763
153	319	1755
154	320	1748
155	321	1741
156	322	1734
157	324	1730
158	326	1724
159	327	1716
160	327	1708
161	328	1700
162	329	1693
163	330	1685
164	331	1679
165	332	1671
166	333	1664
167	334	1656
168	335	1650
169	336	1644
170	338	1639
171	340	1640
172	342	1634
173	343	1629
174	344	1623
175	345	1618
176	348	1620
177	349	1615
178	350	1609
179	352	1604
180	352	1596
181	356	1601
182	357	1596
183	358	1591
184	359	1584
185	360	1578
186	361	1572
187	362	1566
188	363	1561
189	365	1556
190	366	1551
191	367	1546
192	368	1541
193	370	1537
194	371	1533
195	372	1528
196	373	1522
197	374	1516
198	375	1510
199	376	1504
200	377	1498
201	378	1494
202	379	1490
203	380	1486
204	382	1481
205	383	1476
206	384	1471
207	385	1468
208	387	1464
209	388	1460
210	389	1456
211	390	1451
212	391	1446
213	392	1441
214	393	1436
215	394	1430
216	395	1426
217	396	1422
218	397	1418
219	399	1414
220	400	1411
221	401	1408
222	402	1403
223	403	1398
224	404	1393
225	405	1388
226	406	1383
227	407	1378
228	408	1374
229	409	1370
230	410	1366
231	411	1362
232	412	1357
233	413	1353
234	414	1349
235	416	1347
236	417	1343
237	418	1339
238	420	1339
239	421	1335
240	422	1331
241	423	1327
242	425	1324
243	426	1320
244	427	1316
245	428	1313
246	429	1309
247	431	1307
248	432	1303
249	433	1299
250	434	1296
251	435	1292
252	436	1288
253	437	1284
254	438	1280
255	439	1277
256	440	1273
257	441	1270
258	442	1267
259	444	1263
260	445	1261
261	446	1259
262	447	1255
263	449	1252
264	450	1248
265	451	1245
266	452	1241
267	453	1238
268	454	1234
269	455	1230
270	456	1227
271	457	1223
272	458	1219
273	458	1215
274	459	1212
275	461	1210
276	463	1208
277	464	1205
278	465	1202
279	466	1199
280	469	1200
281	470	1197
282	471	1193
283	472	1190
284	473	1187
285	474	1183
286	474	1179
287	476	1177
288	477	1174
289	478	1171
290	479	1168
291	480	1165
292	481	1162
293	482	1159
294	483	1156
295	484	1152
296	485	1150
297	487	1147
298	488	1144
299	489	1141
300	490	1139
301	492	1137
302	493	1134
303	494	1132
304	495	1130
305	497	1128
306	498	1126
307	500	1123
308	501	1121
309	502	1118
310	503	1115
311	504	1112
312	505	1109
313	507	1107
314	508	1105
315	509	1102
316	510	1100
317	511	1097
318	513	1095
319	514	1093
320	515	1090
321	516	1087
322	517	1084
323	518	1082
324	519	1079
325	520	1076
326	521	1073
327	524	1074
328	525	1071
329	526	1068
330	527	1065
331	528	1062
332	529	1059
333	530	1056
334	530	1054
335	531	1051
336	533	1048
337	534	1046
338	535	1043
339	536	1041
340	537	1039
341	538	1036
342	539	1034
343	540	1031
344	541	1028
345	542	1026
346	544	1023
347	544	1020
348	545	1018
349	546	1015
350	547	1012
351	548	1010
352	549	1007
353	551	1005
354	552	1003
355	553	1000
356	554	998
357	555	995
358	555	992
359	556	990
360	558	987
361	559	985
362	560	983
363	561	980
364	562	978
365	563	975
366	563	972
367	564	970
368	566	967
369	567	965
370	568	963
371	569	960
372	570	958
373	571	956
374	572	953
375	573	951
376	573	948
377	574	945
378	575	943
379	576	941
380	578	939
381	579	937
382	580	935
383	581	933
384	583	931
385	584	929
386	585	927
387	586	925
388	587	922
389	588	920
390	591	921
391	593	921
392	596	921
